STORAGE NETWORKS,1,7,1,ROBERT SPALDING,CS051,2003,526,TATA MCGREW,now(),0000-00-00 00:00:00
CLOUD COMPUTING,1,4,1,DAVID S,CS055,2010,239,PEARSON,now(),0000-00-00 00:00:00
CLOUD COMPUTING,1,4,1,MICHAL MILLER,CS056,8TH,293,PEARSON,now(),0000-00-00 00:00:00
CLOUD COMPUTING,1,4,1,MICHAL MILLER,CS057,D,293,PEARSON,now(),0000-00-00 00:00:00
FUZZY SETS AND LOGIC,1,5,1,GEORGE J,CS058,1995,574,PHI,now(),0000-00-00 00:00:00
NURAL NETWORKS,1,4,1,SATHISH KUMAR,CS059,2ND,735,MCGREW,now(),0000-00-00 00:00:00
ELEMENTS OF ANN,1,4,1,KISHAN MEHROTRA,CS060,2ND,397,PRI,now(),0000-00-00 00:00:00
DATA COMMUNICATION & NETWORKING,1,3,1,BEHROUZ A F,CS062,4TH,1134,MC GREW,now(),0000-00-00 00:00:00
NURAL NETWORKS,1,4,1,SIMON HAYKIN,CS063,2ND,842,PEARSON,now(),0000-00-00 00:00:00
COMPUTER APPLICATIONS,1,,1, K.SHANKAR,CS064,1ST,252,SUBAS STORES,now(),0000-00-00 00:00:00
DATA COMPRESSION,1,6,1,KHALID SAYOOD,CS065,3RD,680,ELSEVIER,now(),0000-00-00 00:00:00
FUNDAMENTALS OF MULTIMEDIA,1,5,1,ZE-NIANLI,CS066,2004,560,PHI,now(),0000-00-00 00:00:00
MOBILE CELLULAR TELECOMMUNICATION,1,5,1,WILLIAM  C Y,CS067,2ND,664,MCGREW HILL,now(),0000-00-00 00:00:00
MOBILE COMMUNICATION,1,5,1,JOCHAN SSCHILLER,CS069,2ND,512,PEARSON,now(),0000-00-00 00:00:00
MOBILE COMPUTING,1,5,1,ASOKE HASAN,CS070,2ND,627,MCGREW HILL,now(),0000-00-00 00:00:00
DATA MINING,1,6,1,PANG-NING,CS073,1ST,769,PEARSON,now(),0000-00-00 00:00:00
DATA MINING,1,6,1,GAJENDRA SHARMA,CS074,1ST,424,KATSON BOOK,now(),0000-00-00 00:00:00
DATA MINING,1,6,1,ALEX BERSON,CS075,2004,612,MCGREW HILL,now(),0000-00-00 00:00:00
DATA MINING,1,6,1,PING -NING,CS076,1ST,769,PEARSON,now(),0000-00-00 00:00:00
DATA MINING,1,6,1,JIAWEI HAN,CS077,2ND,770,MORGON,now(),0000-00-00 00:00:00
DATA MINING,1,6,1,JIAWEI HAN,CS078,2001,550,MARGON,now(),0000-00-00 00:00:00
ARTIFICIAL INTELLIGENCE,1,6,1,ELAINE RICH,CS079,3RD,568,TATA MCGREW,now(),0000-00-00 00:00:00
ARTIFICIAL NEURAL NETWORKS,1,6,1,ROBERT J S,CS080,2011,422,MCGREWHILL,now(),0000-00-00 00:00:00
ARTIFICIAL INTELLIGENCE & EXPEERT SYSTEMS,1,6,1,DAN W.PATTERSON,CS081,1997,448,PHI,now(),0000-00-00 00:00:00
ARTIFICAL INTELLIGENCE,1,6,1,STURAT RUSSCELL,CS082,2ND,1022,PEARSON,now(),0000-00-00 00:00:00
ARTIFICAL INTELLIGENCE,1,6,1,NILS J N,CS083,2002,476,PEARSON,now(),0000-00-00 00:00:00
OPERATING SYSTEMS PRINCIPLES,1,6,1,ABRAHAM S,CS084,7TH,896,NAROSA,now(),0000-00-00 00:00:00
OPERATING SYSTEMS PRINCIPLES,1,6,1,ABRAHAM S,CS085,8TH,972,WILLEY INDIA,now(),0000-00-00 00:00:00
OPERATING SYSTEMS PRINCIPLES,1,6,1,ABRAHAM S,CS086,7TH,896,WILLEY INDIA,now(),0000-00-00 00:00:00
OPERATING SYSTEMS PRINCIPLES,1,6,1,ABRAHAM S,CS087,D,896,WILLEY INDIA,now(),0000-00-00 00:00:00
OPERATING SYSTEMS ,1,6,1,SITSANKAR HALDAR,CS088,2009,576,WILLEY INDIA,now(),0000-00-00 00:00:00
OPERATING SYSTEMS ,1,6,1,I A DHOTRE,CS089,2012,,PEARSON,now(),0000-00-00 00:00:00
OPERATING SYSTEMS ,1,6,1,D M DHAMDHERE,CS090,1ST,788,TECHNICAL PUBLICATIONS,now(),0000-00-00 00:00:00
OPERATING SYSTEMS ,1,6,1,ANDREW S TAMENBAUM,CS091,3RD,1054,PHI,now(),0000-00-00 00:00:00
OPERATING SYSTEMS ,1,6,1,PRAMOD CHANDRA P B,CS092,3RD,800,PHI,now(),0000-00-00 00:00:00
EMBEDDED SYSTEMS,1,6,1,JAMES K PECKOL,CS093,2013,810,WILLEY ,now(),0000-00-00 00:00:00
EMBEDDED SYSTEMS,1,6,1,FRANK VAHID,CS094,2012,,WILLEY ,now(),0000-00-00 00:00:00
EMBEDDED SYSTEMS,1,6,1,SHIBU K V,CS095,2013,716,MCGREWHILL,now(),0000-00-00 00:00:00
EMBEDDED SYSTEMS,1,6,1,RAJKAMAL,CS096,2ND,681,TATA MCGREW,now(),0000-00-00 00:00:00
MOBILE COMPUTING ,1,6,1,RAJKAMAL,CS099,2ND/2012,627,OXFORD,now(),0000-00-00 00:00:00
MOBILE COMPUTING ,1,6,1,RAJKAMAL,CS100,2ND,627,OXFORD,now(),0000-00-00 00:00:00
CLOUD COMPUTING,1,4,1,ANTHONY T V,CS101,2012,334,MCGREWHILL,now(),0000-00-00 00:00:00
CLOUD COMPUTING,1,4,1,DR.KUMAR SAURABH,CS102,2ND,219,WILLEY INDIA,now(),0000-00-00 00:00:00
EMBEDDED SYSTEMS,1,6,1,SIBU K V,CS103,2013,716,MCGREWHILL,now(),0000-00-00 00:00:00
SOFTWARE TESTING AND ANALYSIS,1,3,1,MAURO PEZZE,CS104,2011,488,WILEY,now(),0000-00-00 00:00:00
SOFTWARE TESTING AND ANALYSIS,1,3,1,MAURO PEZZE,CS105,2012,488,WILEY,now(),0000-00-00 00:00:00
SOFTWARE TESTING ,1,3,1,PAUL J,CS107,3RD,416,AUERBACH,now(),0000-00-00 00:00:00
SOFTWARE TESTING AND QUALITY ASSURANCE,1,3,1,KSHIRASAGAR NAIK,CS108,2015,616,WILLEY,now(),0000-00-00 00:00:00
SYSTEM PROGRAMMING,1,6,1,D M DHAMDRE,CS109,2011,538,MCGREW HILL,now(),0000-00-00 00:00:00
SYSTEM PROGRAMMING,1,6,1,D M DHAMDRE,CS110,2013,538,PEARSON,now(),0000-00-00 00:00:00
ADVANCED PROGRAMMING IN THE UNIX,1,7,1,W RICHARAD STEVENS,CS111,2ND,921,PEARSON,now(),0000-00-00 00:00:00
UNIX SYSTEM PROGRAMMING USING C++,1,7,1,TERRENCE CHAN,CS116,1997,598,PHI,now(),0000-00-00 00:00:00
ADVANCED UNIX PROGRAMMING,1,7,1,MARC J R,CS120,2ND,731,PEARSON,now(),0000-00-00 00:00:00
UNIX AND SHEL PROGRAMMING ,1,7,1,BEHROUZ A FOROUZAN,CS121,2009,875,CENAGE LEARNING,now(),0000-00-00 00:00:00
UNIX CONCEPTS AND APPLICATIONS,1,7,1,SUMITHABA DAS,CS123,4TH,667,MCGREWHILL,now(),0000-00-00 00:00:00
UNIX CONCEPTS AND APPLICATIONS,1,7,1,SUMITHABA DAS,CS124,4TH,667,PEARSON,now(),0000-00-00 00:00:00
ADVANCED PROGRAMMING  IN THE UNIX ENVIRONMENT,1,7,1,W RICHARD STEVENS,CS128,2005,744,PEARSON,now(),0000-00-00 00:00:00
